property_id,neighborhood,year,total_assessed_value,property_area,number_of_bedrooms,number_of_bathrooms,building_age,latitude,longitude,pca_x,pca_y,tsne_x,tsne_y
0,Excelsior,2022,210141.0,862.0,0,1.0,81.0,37.729706588,-122.420950143,0.22484678158027788,-1.474843018950041,,
1,Mission Terrace,2017,214196.0,1155.0,0,1.0,99.0,37.729253969,-122.438950482,0.5167689637727636,1.757324814096037,,
2,Lake Street,2023,524601.0,2106.0,4,1.0,113.0,37.785753868,-122.469663514,1.0305366283411967,-2.3271372877667362,,
3,Eureka Valley/Dolores Heights,2021,40262.0,600.0,0,1.0,43.0,37.762397393,-122.43024391,-1.4896436443542527,-1.0770454604426292,,
4,Mission Bay,2023,1581000.0,1307.0,2,2.0,7.0,37.77180554,-122.394186978,-1.9758972252810771,-2.954079367718097,,
5,Van Ness/ Civic Center,2017,157387.0,0.0,0,0.0,86.0,37.789553094,-122.423278885,-3.6384299065896135,2.1011741032541096,,
6,Ingleside Heights,2015,326094.0,1000.0,2,1.0,83.0,37.71538068,-122.466830674,2.130773317470542,2.1757880777686704,,
7,Eureka Valley/Dolores Heights,2019,838593.0,2916.0,0,1.0,127.0,37.756422399,-122.434937509,-0.49459168018906596,0.7636238079204638,,
8,Bayview,2023,350103.0,1570.0,3,2.0,38.0,37.735783926,-122.386274017,-0.19686292188231014,-2.4525124643409746,,
9,Nob Hill,2021,1991982.0,1175.0,2,2.0,34.0,37.792654292,-122.414116749,-1.8338116808930174,-2.295506510411455,,
10,Ingleside,2015,385745.0,1375.0,0,1.0,100.0,37.722564466,-122.461950508,1.66326434901693,2.192536991992261,53.17681121826172,-25.420690536499023
11,Merced Heights,2017,350425.0,1150.0,0,1.0,66.0,37.720133897,-122.466882062,1.856019494302113,1.8651203892339225,,
12,Miraloma Park,2021,1681224.0,2497.0,4,3.0,74.0,37.736983378,-122.452707282,1.5605453755131524,-1.909154126319052,,
13,Mission Terrace,2016,131109.0,2686.0,0,2.0,61.0,37.722960423,-122.437477799,0.758137518765229,1.8252830102186124,,
14,Miraloma Park,2020,1073812.0,1085.0,0,1.0,64.0,37.734959654,-122.448087958,0.5801286140294747,-1.0411195227880283,,
15,Central Sunset,2019,76363.0,1250.0,0,1.0,96.0,37.756443618,-122.481669726,1.4244928115679327,1.514928986106951,,
16,Outer Richmond,2017,1125542.0,1825.0,3,3.0,18.0,37.777867181,-122.502514088,2.371504666415264,0.8508663807835501,,
17,Cole Valley/Parnassus Heights,2016,152184.0,1339.0,0,1.0,58.0,37.764975843,-122.443834621,-0.8762197555697857,1.616603576426396,,
18,Bernal Heights,2015,226406.0,1655.0,3,2.0,56.0,37.743967357,-122.416456479,-0.519823448699741,1.0963144791728932,,
19,Outer Richmond,2020,249897.0,2654.0,0,1.0,106.0,37.772166957,-122.505329473,2.4964801596938995,-0.5911498815650593,,
20,Mount Davidson Manor,2016,554813.0,1802.0,0,1.0,95.0,37.727198811,-122.465353138,1.6921713700140786,1.8440667187130217,,
21,Croker Amazon,2020,104092.0,1650.0,0,2.0,51.0,37.714230203,-122.440664453,1.4014691293332568,-0.6496743749779945,,
22,South Beach,2016,275344.0,852.0,2,1.0,17.0,37.786236788,-122.389066206,-2.6194315030169095,0.8353563991001078,,
23,Central Richmond,2018,80727.0,1588.0,0,1.0,82.0,37.775724523,-122.489511246,1.1531427114994863,1.567344133016811,,
24,Ingleside Heights,2020,258406.0,1219.0,0,1.0,97.0,37.714076672,-122.464251483,2.22470612853532,-0.40080922622084536,,
25,Glen Park,2023,58782.0,1450.0,0,1.0,123.0,37.740226676,-122.426970722,0.019911623924888325,-1.623159505242834,,
26,Outer Parkside,2022,691976.0,1200.0,0,2.0,76.0,37.741840185,-122.495218173,2.9186942015489303,-1.5612175173378184,,
27,Duboce Triangle,2021,1771704.0,1751.0,3,1.0,118.0,37.765554295,-122.434249154,-0.5795025541865833,-1.8297814519889208,,
28,Bernal Heights,2017,542344.0,2150.0,5,3.0,123.0,37.744231731,-122.41768372,0.304111273753257,0.39704458002858395,,
29,Outer Mission,2023,527276.0,2360.0,3,2.0,99.0,37.716107394,-122.443539056,2.166617739493685,-2.0408931287803274,,
30,Lower Pacific Heights,2021,928640.0,1736.0,0,0.0,26.0,37.785367927,-122.444816743,-1.530664906816721,-1.6005257433939855,,
31,Sunnyside,2015,266727.0,1100.0,0,1.0,92.0,37.728837896,-122.449599055,0.7273650100845146,2.167987734570396,11.688655853271484,13.730669975280762
32,Noe Valley,2019,1993171.0,3520.0,0,2.0,123.0,37.743590042,-122.426377244,0.08046969081595337,0.5641033286216114,,
33,Russian Hill,2021,2071238.0,986.0,2,1.0,59.0,37.798446655,-122.415217686,-1.908099419126317,-1.7100263994735037,,
34,Ingleside Heights,2016,305998.0,1178.0,0,1.0,68.0,37.712740817,-122.46282139,1.8979436544300958,2.0947415411283434,,
35,Hayes Valley,2019,4900.0,0.0,0,0.0,86.0,37.778608347,-122.422193558,-3.773057982575375,1.7871903364989947,,
36,Mission Bay,2018,1683000.0,2246.0,2,3.0,22.0,37.777725412,-122.40094401,-1.9758010688769359,0.10729075093987946,-81.83128356933594,17.32371711730957
37,Downtown,2022,5396.0,360.0,0,0.0,86.0,37.790841287,-122.412513693,-3.065327046965612,-0.7846597961981132,,
38,Bayview,2015,445904.0,1484.0,3,2.0,96.0,37.737609832,-122.391180373,-0.20659185489978632,1.4926283172760808,,
39,Cow Hollow,2019,2042078.0,2402.0,3,1.0,97.0,37.798253761,-122.443607558,-0.7703324357868726,0.22424904477294144,-28.803951263427734,39.10835266113281
40,Mount Davidson Manor,2015,229316.0,831.0,1,1.0,38.0,37.725626771,-122.46163132,1.2414018358352625,2.013528874529267,,
41,Inner Mission,2019,637500.0,437.0,1,1.0,9.0,37.766541794,-122.41797754,-2.247814886081274,0.47089243955550714,,
42,Potrero Hill,2022,450368.0,983.0,2,2.0,35.0,37.75497899,-122.398403896,-1.3298391853772047,-2.3989247443326303,,
43,Westwood Park,2015,753563.0,1460.0,0,1.0,103.0,37.725733763,-122.458961105,1.4158995361622029,2.1324009196253044,,
44,Hayes Valley,2016,308719.0,596.0,0,1.0,28.0,37.777007138,-122.424993155,-2.6794138407654327,1.1413594219680328,,
45,Balboa Terrace,2020,551699.0,1375.0,0,1.0,102.0,37.732235104,-122.468460012,1.7829638136523,-0.7014000371512276,,
46,Central Sunset,2019,70365.0,1390.0,0,1.0,95.0,37.758738628,-122.479679888,1.3177189677065375,1.5004064041970626,,
47,Inner Richmond,2015,572629.0,1234.0,2,2.0,25.0,37.777983661,-122.459018046,-0.09886718675107693,1.3114070869029877,,
48,South of Market,2016,498686.0,502.0,0,0.0,13.0,37.781154821,-122.401651399,-3.1053289945729645,1.249617527904957,-68.33358001708984,-7.067734718322754
49,Miraloma Park,2021,1257690.0,1216.0,0,1.0,83.0,37.738431969,-122.446496802,0.5716838703185536,-1.2659013059898958,,
